"Name","Gross Export","Share"
"Jamaica","10193","0.00007701093579495395"
"Italy","12397313","0.09366513052810241"
"Kenya","108803","0.0008220367749728612"
"Kazakhstan","22362","0.00016895109842507213"
"Japan","11847319","0.08950977365361895"
"Kyrgyzstan","5172","0.000039075891291229455"
"South Korea","7425733","0.0561034678007918"
"Cambodia","197977296","1.4957732592087307"
"Liberia","99507368","0.7518057027541307"
"Laos","259767568","1.9626158639124238"
"Luxembourg","42414700","0.32045479627805684"
"Sri Lanka","39537136","0.2987140039254746"
"Lithuania","349045","0.0026371315691699894"
"Mexico","3543951","0.026775530552483356"
"Myanmar","200650944","1.5159734097499167"
"Montenegro","29078","0.00021969233700045823"
"Mauritania","5239","0.00003958209483270517"
"Malawi","3190158","0.024102526529359236"
"Namibia","7610","0.00005749565597955455"
"Malaysia","946073856","7.147849797086285"
"Nigeria","63006320","0.47603018387092344"
"Niger","27414","0.00020712035650768837"
"Nicaragua","594767","0.004493629279893788"
"Netherlands","35612200","0.26906002626479536"
"Norway","343644","0.0025963255195056564"
"Pakistan","43342","0.0003274608043976154"
"New Zealand","77217","0.0005833958039123869"
"Oman","24465","0.0001848398454060187"
"Philippines","80308976","0.6067565382610122"
"Peru","89290","0.0006746106599756145"
"Panama","31552","0.0002383840916513673"
"Poland","19199352","0.14505641755878745"
"Papua New Guinea","7754601","0.05858815655121021"
"Portugal","2569534","0.01941354045883952"
"Senegal","64390","0.00048648426918837285"
"Qatar","16314","0.0001232567847109662"
"Saudi Arabia","2658068","0.020082439329600868"
"Romania","15203637","0.11486768496583796"
"Russia","829925","0.0062703130471526685"
"Singapore","112775264","0.8520483287710175"
"Sierra Leone","165952","0.0012538132852981652"
"Serbia","1120919","0.008468853246379278"
"Sweden","2590241","0.019569987574262464"
"Suriname","46725","0.00035302030560376956"
"Slovenia","332281","0.0025104749099267233"
"Slovakia","7355894","0.055575814828655645"
"Thailand","4448519680","33.60979725881184"
"Turkey","1304563","0.009856334487733985"
"Trinidad and Tobago","2797","0.000021132109037426295"
"United States of America","99054496","0.7483841294670385"
"Tanzania","59928","0.00045277262438143826"
"Uganda","1440","0.00001087959850335855"
"Ukraine","55652","0.00042046626104785416"
"British Virgin Islands","21307","0.0001609802814660143"
"Venezuela","1708","0.00001290441266926139"
"South Africa","2533188","0.019138936370504053"
"Vietnam","974339904","7.361407612028412"
"Undeclared","789884","0.005967792211268655"
"Zimbabwe","82686","0.000624715612394934"
"Taiwan","5430034","0.04102540956915696"
"Afghanistan","30342","0.00022924220679785076"
"Argentina","1146208","0.008659918639817776"
"United Arab Emirates","604837","0.004569710916649913"
"Australia","776577","0.005867254143710189"
"Austria","762452","0.005760535859779675"
"Belgium","204906656","1.5481264916290312"
"Bahrain","9335","0.00007052850835336949"
"Bangladesh","6192371","0.04678507657211172"
"Bulgaria","2858267","0.021594998177360505"
"Belarus","813874","0.006149043300223913"
"Bosnia and Herzegovina","5482","0.00004141802708014692"
"Belize","45590","0.00034444506650563626"
"Brazil","1596251","0.012060118049017075"
"Chile","1195188","0.009029976094466733"
"Canada","1854367","0.01401025585963714"
"Switzerland","736380","0.005563554684654978"
"China","30399974","0.22968021641148528"
"Cameroon","41306228","0.31207998356124095"
"Côte d'Ivoire","874539584","6.6073885758432"
"Democratic Republic of the Congo","1058715","0.007998884812141144"
"Republic of the Congo","1636536","0.012364482372425269"
"Colombia","4736379","0.035784654083151984"
"Costa Rica","146103","0.0011038485973168014"
"Cyprus","6501","0.00004911685407662079"
"Czechia","9374997","0.07083069675707701"
"Germany","115060672","0.86931521867127"
"Ecuador","583956","0.004411949183074475"
"Dominican Republic","7601","0.00005742765848890856"
"Denmark","8058072","0.06088096393830238"
"Spain","13160016","0.09942756276234344"
"Egypt","1142977","0.008635507540675864"
"Ethiopia","1556","0.000011756010605017987"
"Estonia","218189","0.0016484782762842352"
"Finland","2371189","0.017914989094152955"
"France","92031128","0.6953206405911104"
"Guinea","21425428","0.1618750377795947"
"United Kingdom","13558457","0.10243789478128558"
"Gabon","15481490","0.11696694127344467"
"Ghana","63899208","0.4827761998073587"
"Greece","78077","0.0005898933419074482"
"Hong Kong","3969062","0.029987361802039786"
"Guatemala","142559056","1.0770731196512553"
"Indonesia","3820912896","28.868054322767346"
"Honduras","63087","0.00047663974359818113"
"Croatia","46045","0.000347882717421628"
"Hungary","5148506","0.03889838761953646"
"India","17642544","0.13329430229016484"
"Ireland","1525761","0.011527546591724195"
"Iran","66068","0.000499162023555481"
"Iceland","36588","0.00027643246530616845"
"Israel","85330","0.0006446917640913785"
