"Name","Gross Export","Share"
"Japan","2420655616","9.391525289720532"
"Jordan","189762","0.0007362280740177572"
"Kenya","276375","0.0010722643835786808"
"Kazakhstan","244494","0.000948574249475119"
"Cambodia","13498768","0.052371770777355484"
"South Korea","3078748416","11.944757204798119"
"Lebanon","121570","0.00047166053771744993"
"Kuwait","271602","0.0010537463631252351"
"Laos","39535","0.0001533856984343126"
"Liberia","8988","0.00003487114348115851"
"Latvia","981979","0.00380982761509619"
"Sri Lanka","1644207","0.006379103049591143"
"Lithuania","3898426","0.015124896795358129"
"Luxembourg","28274376","0.10969735451003834"
"Morocco","405676","0.0015739192259526546"
"Moldova","36181","0.00014037303541297242"
"Macao","4853","0.000018828400012690503"
"Mexico","250780224","0.9729631924055485"
"Marshall Islands","171386","0.0006649338892592159"
"North Macedonia","3396","0.000013175612289943736"
"Malta","1194140","0.004632958085958014"
"Montenegro","123599","0.0004795325392887974"
"Myanmar","18016564","0.06989966491783213"
"Mauritius","24914","0.00009665995423782634"
"Malaysia","876926144","3.4022493758125356"
"Namibia","3610","0.0000140058776109237"
"Nicaragua","52502","0.00020369434524341166"
"New Zealand","227066","0.0008809580624936292"
"Netherlands","713816192","2.769424438184935"
"Norway","3182314","0.012346565208733808"
"Oman","133582","0.0005182640285380637"
"Pakistan","90387","0.00035067846526829936"
"Panama","281706","0.0010929473014578593"
"Papua New Guinea","10171","0.000039460881213491674"
"Philippines","9206825","0.03572012856930543"
"Peru","298643","0.0011586585338944839"
"Portugal","12310798","0.04776275071490423"
"North Korea","212580","0.0008247560838033686"
"Poland","492766368","1.9118076013815481"
"Paraguay","5194","0.000020151392883971664"
"Singapore","805977472","3.1269866565079454"
"Senegal","43012","0.00016687557002799175"
"Qatar","11758","0.00004561803572001132"
"Romania","17184760","0.06667247793160587"
"Russia","1758050176","6.820785484465061"
"Rwanda","7627","0.00002959081122950556"
"Saudi Arabia","329455008","1.2782012521755926"
"El Salvador","2115","0.000008205659597535631"
"Serbia","28922952","0.11221366367274817"
"Slovakia","8980834","0.034843341232139155"
"Seychelles","395723","0.001535304129038105"
"Slovenia","6808962","0.026417032805936363"
"Sweden","8964668","0.03478062128270475"
"Thailand","2432619008","9.43794019392095"
"Trinidad and Tobago","3579","0.000013885605531716322"
"Tunisia","9295","0.00003606222503976061"
"Turkey","54589604","0.2117937153608839"
"Ukraine","479957","0.0018621105264559853"
"Tanzania","17669","0.00006855120540371493"
"Uruguay","122542","0.0004754316493622749"
"Uzbekistan","31685","0.00012292970418341202"
"United States of America","2645687552","10.264591703616713"
"Vietnam","1117590912","4.335967183532576"
"Saint Vincent and the Grenadines","143248","0.0005557656387838222"
"British Virgin Islands","304589","0.001181727494635357"
"Samoa","428072","0.0016608099835632496"
"South Africa","18477064","0.07168628725573527"
"Taiwan","1167413120","4.5292646205281395"
"Anguilla","49794","0.00019318799716297363"
"Afghanistan","1310","0.0000050824652826343626"
"Undeclared","21464294","0.08327597639027255"
"Angola","28626","0.00011106156578678723"
"United Arab Emirates","92534896","0.35901175294059645"
"Albania","475648","0.0018453927074461595"
"Argentina","24880180","0.09652874127915559"
"Australia","5553849","0.0215475150591554"
"Austria","29712144","0.11527552698674265"
"Azerbaijan","52103","0.00020214632719167802"
"Belgium","1240687104","4.813548956253564"
"Bangladesh","83326","0.0003232835894204511"
"Bulgaria","2140602","0.008304988815982963"
"Bahrain","120744","0.00046845586876824696"
"Bosnia and Herzegovina","95880","0.00037198990175494863"
"Belize","20228","0.00007847947155505946"
"Belarus","1212419","0.004703875935500971"
"Bolivia","26286","0.00010198296367887547"
"Brunei","558524","0.0021669304118458583"
"Brazil","141169760","0.5477025985937596"
"Botswana","3519","0.000013652820862282688"
"Canada","243071056","0.9430535903307428"
"Chile","706437","0.002740795058678146"
"Switzerland","29425916","0.11416503548069847"
"China","717389952","2.7832897138555204"
"Cameroon","9000","0.000034917700415045236"
"Côte d'Ivoire","555448","0.002154996317792894"
"Republic of the Congo","35720","0.00013858447320282398"
"Colombia","917318","0.003558959456592052"
"Costa Rica","307264","0.0011921058111476067"
"Cyprus","746220","0.0028951429337461176"
"Denmark","17831332","0.0691810120863566"
"Dominican Republic","67488","0.0002618361961789526"
"Ecuador","72930","0.00028294976569658324"
"Curaçao","105133","0.00040788917752610567"
"Czechia","305957184","1.1870356989714301"
"Germany","1792479104","6.954360928188969"
"Egypt","202014","0.0007837627035161054"
"Spain","311603360","1.2089414192001655"
"Estonia","5031713","0.019521760789832057"
"France","926514688","3.5946402561914566"
"Finland","26132826","0.10138868769627833"
"United Kingdom","444255264","1.723596912906537"
"Georgia","423585","0.001643401570034104"
"Ghana","19599","0.00007603911227049685"
"Equatorial Guinea","1967","0.000007631457412932665"
"Greece","2697279","0.010464753339754756"
"Guatemala","380127","0.0014747956339633223"
"Hong Kong","42104636","0.16335522954805873"
"Indonesia","208067952","0.8072504904342236"
"Croatia","190609","0.000739514217601262"
"Hungary","122670200","0.47592903260596475"
"India","112878752","0.4379407161733542"
"Iran","23075644","0.08952760267513736"
"Ireland","1694096","0.0065726596224807195"
"Italy","544006336","2.1106055849260486"
"Israel","508445","0.001972636687503075"
"Iceland","23307","0.00009042520484149548"
