ref_area.label,indicator.label,source.label,classif1.label,time,obs_value,note_indicator.label,note_source.label
Afghanistan,Statutory nominal gross monthly minimum wage,AFG - ADM - Labour legislation,Currency: Local currency,"2010","4000",Currency: AFG - Afghani (AFN),Repository: Media Reports | Institutional sector coverage: Public sector only
Afghanistan,Statutory nominal gross monthly minimum wage,AFG - ADM - Labour legislation,Currency: 2017 PPP $,"2010","258.23",Currency: AFG - Afghani (AFN),Repository: Media Reports | Institutional sector coverage: Public sector only
Afghanistan,Statutory nominal gross monthly minimum wage,AFG - ADM - Labour legislation,Currency: U.S. dollars,"2010","86.11",Currency: AFG - Afghani (AFN),Repository: Media Reports | Institutional sector coverage: Public sector only
Afghanistan,Statutory nominal gross monthly minimum wage,AFG - ADM - Labour legislation,Currency: Local currency,"2011","5000",Currency: AFG - Afghani (AFN),Repository: Media Reports | Institutional sector coverage: Public sector only
Afghanistan,Statutory nominal gross monthly minimum wage,AFG - ADM - Labour legislation,Currency: 2017 PPP $,"2011","297.83",Currency: AFG - Afghani (AFN),Repository: Media Reports | Institutional sector coverage: Public sector only
Afghanistan,Statutory nominal gross monthly minimum wage,AFG - ADM - Labour legislation,Currency: U.S. dollars,"2011","106.96",Currency: AFG - Afghani (AFN),Repository: Media Reports | Institutional sector coverage: Public sector only
Afghanistan,Statutory nominal gross monthly minimum wage,AFG - ADM - Labour legislation,Currency: Local currency,"2012","5000",Currency: AFG - Afghani (AFN),Repository: Media Reports | Institutional sector coverage: Public sector only
Afghanistan,Statutory nominal gross monthly minimum wage,AFG - ADM - Labour legislation,Currency: 2017 PPP $,"2012","292.57",Currency: AFG - Afghani (AFN),Repository: Media Reports | Institutional sector coverage: Public sector only
Afghanistan,Statutory nominal gross monthly minimum wage,AFG - ADM - Labour legislation,Currency: U.S. dollars,"2012","98.19",Currency: AFG - Afghani (AFN),Repository: Media Reports | Institutional sector coverage: Public sector only
Afghanistan,Statutory nominal gross monthly minimum wage,AFG - ADM - Labour legislation,Currency: Local currency,"2013","5000",Currency: AFG - Afghani (AFN),Repository: Media Reports | Institutional sector coverage: Public sector only
Afghanistan,Statutory nominal gross monthly minimum wage,AFG - ADM - Labour legislation,Currency: 2017 PPP $,"2013","283.19",Currency: AFG - Afghani (AFN),Repository: Media Reports | Institutional sector coverage: Public sector only
Afghanistan,Statutory nominal gross monthly minimum wage,AFG - ADM - Labour legislation,Currency: U.S. dollars,"2013","90.29",Currency: AFG - Afghani (AFN),Repository: Media Reports | Institutional sector coverage: Public sector only
Afghanistan,Statutory nominal gross monthly minimum wage,AFG - ADM - Labour legislation,Currency: Local currency,"2015","5000",Currency: AFG - Afghani (AFN),Institutional sector coverage: Private sector only
Afghanistan,Statutory nominal gross monthly minimum wage,AFG - ADM - Labour legislation,Currency: 2017 PPP $,"2015","290.79",Currency: AFG - Afghani (AFN),Institutional sector coverage: Private sector only
Afghanistan,Statutory nominal gross monthly minimum wage,AFG - ADM - Labour legislation,Currency: U.S. dollars,"2015","81.77",Currency: AFG - Afghani (AFN),Institutional sector coverage: Private sector only
Afghanistan,Statutory nominal gross monthly minimum wage,AFG - ADM - Labour legislation,Currency: Local currency,"2016","5000",Currency: AFG - Afghani (AFN),Institutional sector coverage: Private sector only
Afghanistan,Statutory nominal gross monthly minimum wage,AFG - ADM - Labour legislation,Currency: 2017 PPP $,"2016","288.98",Currency: AFG - Afghani (AFN),Institutional sector coverage: Private sector only
Afghanistan,Statutory nominal gross monthly minimum wage,AFG - ADM - Labour legislation,Currency: U.S. dollars,"2016","73.67",Currency: AFG - Afghani (AFN),Institutional sector coverage: Private sector only
Afghanistan,Statutory nominal gross monthly minimum wage,AFG - ADM - Labour legislation,Currency: Local currency,"2017","5500",Currency: AFG - Afghani (AFN),Institutional sector coverage: Private sector only
Afghanistan,Statutory nominal gross monthly minimum wage,AFG - ADM - Labour legislation,Currency: 2017 PPP $,"2017","316.82",Currency: AFG - Afghani (AFN),Institutional sector coverage: Private sector only
Afghanistan,Statutory nominal gross monthly minimum wage,AFG - ADM - Labour legislation,Currency: U.S. dollars,"2017","80.85",Currency: AFG - Afghani (AFN),Institutional sector coverage: Private sector only
Afghanistan,Statutory nominal gross monthly minimum wage,AFG - ADM - Labour legislation,Currency: Local currency,"2018","5500",Currency: AFG - Afghani (AFN),Institutional sector coverage: Private sector only
Afghanistan,Statutory nominal gross monthly minimum wage,AFG - ADM - Labour legislation,Currency: U.S. dollars,"2018","76.3",Currency: AFG - Afghani (AFN),Institutional sector coverage: Private sector only
Afghanistan,Statutory nominal gross monthly minimum wage,AFG - ADM - Labour legislation,Currency: Local currency,"2019","5500",Currency: AFG - Afghani (AFN),Institutional sector coverage: Private sector only
Afghanistan,Statutory nominal gross monthly minimum wage,AFG - ADM - Labour legislation,Currency: U.S. dollars,"2019","70.75",Currency: AFG - Afghani (AFN),Institutional sector coverage: Private sector only
Angola,Statutory nominal gross monthly minimum wage,AGO - ADM - Labour legislation,Currency: Local currency,"2010","9371",Currency: AGO - Kwanza (AOA),
Angola,Statutory nominal gross monthly minimum wage,AGO - ADM - Labour legislation,Currency: U.S. dollars,"2010","101.96",Currency: AGO - Kwanza (AOA),
Angola,Statutory nominal gross monthly minimum wage,AGO - ADM - Labour legislation,Currency: Local currency,"2015","15003",Currency: AGO - Kwanza (AOK) | Type of minimum wage: Singular national minimum wage,
Angola,Statutory nominal gross monthly minimum wage,AGO - ADM - Labour legislation,Currency: Local currency,"2016","15003",Currency: AGO - Kwanza (AOK) | Type of minimum wage: Singular national minimum wage,
Angola,Statutory nominal gross monthly minimum wage,AGO - ADM - Labour legislation,Currency: Local currency,"2017","16503.3",Currency: AGO - Kwanza (AOK) | Type of minimum wage: Singular national minimum wage,
Angola,Statutory nominal gross monthly minimum wage,AGO - ADM - Labour legislation,Currency: Local currency,"2018","16503.3",Currency: AGO - Kwanza (AOK) | Type of minimum wage: Singular national minimum wage,
Angola,Statutory nominal gross monthly minimum wage,AGO - ADM - Labour legislation,Currency: Local currency,"2019","21454",Currency: AGO - Kwanza (AOA) | Type of minimum wage: Singular national minimum wage,
Angola,Statutory nominal gross monthly minimum wage,AGO - ADM - Labour legislation,Currency: U.S. dollars,"2019","58.81",Currency: AGO - Kwanza (AOA) | Type of minimum wage: Singular national minimum wage,
Albania,Statutory nominal gross monthly minimum wage,ALB - ADM - Labour legislation,Currency: Local currency,"2010","19000",Currency: ALB - Lek (ALL),Repository: Eurostat | Data reference period: July
Albania,Statutory nominal gross monthly minimum wage,ALB - ADM - Labour legislation,Currency: 2017 PPP $,"2010","331.43",Currency: ALB - Lek (ALL),Repository: Eurostat | Data reference period: July
Albania,Statutory nominal gross monthly minimum wage,ALB - ADM - Labour legislation,Currency: U.S. dollars,"2010","182.8",Currency: ALB - Lek (ALL),Repository: Eurostat | Data reference period: July
Albania,Statutory nominal gross monthly minimum wage,ALB - ADM - Labour legislation,Currency: Local currency,"2011","20000",Currency: ALB - Lek (ALL),Repository: Eurostat | Data reference period: July
Albania,Statutory nominal gross monthly minimum wage,ALB - ADM - Labour legislation,Currency: 2017 PPP $,"2011","357.57",Currency: ALB - Lek (ALL),Repository: Eurostat | Data reference period: July
