Factory Name,Factory Type,Product Type,"Nike, Inc. Brand(s)",Events,Supplier Group,Address,City,State,Add,Postal Code,Country/Region,Region,Total Workers,Line Workers,% Female Workers,% Migrant Workers,Lat,Lon,Status
"A & K DESIGNS, INC.",FINISHED GOODS,APPAREL,NIKE,,A & K DESIGNS,8564 NE ALDERWOOD ROAD,PORTLAND,OREGON,"8564 NE ALDERWOOD ROAD, PORTLAND, OREGON, United States of America",97220,United States of America,AMERICAS,130,90,71.0%,0.0%,45.571327,-122.575822,success
"ACODE SPORTING GOODS CO., LTD",FINISHED GOODS,EQUIPMENT,NIKE,,NO GROUP (EQ),32 VSIIP-A DUONG31,VIETNAM,BÌNH DUONG,"32 VSIIP-A DUONG31, VIETNAM, BÌNH DUONG, Viet Nam",82617,Viet Nam,SE ASIA,289,233,1.0%,0.4%,11.199916,106.661041,doubt
ADORA FOOTWEAR LIMITED,FINISHED GOODS,FOOTWEAR,Converse,,HONG FU,TAM DIEP INDUSTRY ZONE,NINH BINH PROVINCE,NINH BÌNH,"TAM DIEP INDUSTRY ZONE, NINH BINH PROVINCE, NINH BÌNH, Viet Nam",8000,Viet Nam,SE ASIA,9056,8806,88.0%,0.0%,20.159809,105.888191,success
AJARA 1,FINISHED GOODS,APPAREL,NIKE,,MILTEKS,"BOBOKVATI STREET 14, BOBOKVATI VILLAGE",KOBULETI,AJARIA,"BOBOKVATI STREET 14, BOBOKVATI VILLAGE, KOBULETI, AJARIA, GEORGIA",6200,GEORGIA,EMEA,1061,820,99.0%,0.0%,41.82,41.77528,doubt
AJARA TEXTILE LTD,FINISHED GOODS,APPAREL,NIKE,,MILTEKS,31 MOTSERELIA STR.,POTI,SAMEGRELO-ZEMO SVA,"31 MOTSERELIA STR., POTI, SAMEGRELO-ZEMO SVA, GEORGIA",4400,GEORGIA,EMEA,1351,1111,96.0%,0.0%,41.870087,43.735725,doubt
"ALL WELLS INTERNATIONAL CO., LTD.",FINISHED GOODS,FOOTWEAR,NIKE,,SPORTS GEAR,"81 ROAD., TOC TIEN COMMUNE., PHU MY TOWN",PHU MY,BÀ RA - VUNG TÀU,"81 ROAD., TOC TIEN COMMUNE., PHU MY TOWN, PHU MY, BÀ RA - VUNG TÀU, Viet Nam",790000,Viet Nam,SE ASIA,3273,2495,83.0%,0.0%,37.281019,-106.107868,success
ALMAXTEX TEKSTIL SANAYI VE TICARET A.S.,FINISHED GOODS,APPAREL,NIKE,Collegiate,YESIM,ANKARA YOLU GURSU KAVSAGI 11.KM,BURSA,BURSA,"ANKARA YOLU GURSU KAVSAGI 11.KM, BURSA, BURSA, TURKEY",16580,TURKEY,EMEA,3501,2234,55.0%,0.1%,40.19167,29.06111,doubt
ANDBRAVA SRL,FINISHED GOODS,EQUIPMENT,Converse,,NO SUPPLIER GROUP,1650 GENERAL SAN MARTÍN,SAN MARTIN,BUENOS AIRES,"1650 GENERAL SAN MARTÍN, SAN MARTIN, BUENOS AIRES, ARGENTINA",B1650,ARGENTINA,AMERICAS,7,5,1.0%,20.0%,-34.607357,-58.454595,doubt
ANHUI COSMO SPORTING GOODS COMPANY LIMITED,FINISHED GOODS,EQUIPMENT,NIKE,,ANHUI COSMO,"ECONOMIC DEVELOPMENT ZONE, JINZHAI COUNTY",LU'AN CITY,ANHUI,"ECONOMIC DEVELOPMENT ZONE, JINZHAI COUNTY, LU'AN CITY, ANHUI, China Mainland",237321,China Mainland,N ASIA,371,315,91.0%,0.0%,31.75276958,115.9232895,success
ANIGER CALCADOS SUPRIMENTOS E EMPREENDIMENTOS LTDA,FINISHED GOODS,FOOTWEAR,NIKE,,ANIGER,"RUA ARMINDO ELTZ, 51 - QUATRO COLONIAS",CAMPO BOM – RS,RIO GRANDE DO SUL,"RUA ARMINDO ELTZ, 51 - QUATRO COLONIAS, CAMPO BOM – RS, RIO GRANDE DO SUL, BRAZIL",93700-000,BRAZIL,AMERICAS,372,41,60.0%,0.0%,-29.66214729,-51.03599783,success
