"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"SURVEY","1920","FIRST OF JAN","","STATE","ALABAMA","01","","","","","","","00000000","","CATTLE","CATTLE, COWS - INVENTORY","TOTAL","NOT SPECIFIED","523,000",""
"SURVEY","1920","FIRST OF JAN","","STATE","ARIZONA","04","","","","","","","00000000","","CATTLE","CATTLE, COWS - INVENTORY","TOTAL","NOT SPECIFIED","854,000",""
"SURVEY","1920","FIRST OF JAN","","STATE","ARKANSAS","05","","","","","","","00000000","","CATTLE","CATTLE, COWS - INVENTORY","TOTAL","NOT SPECIFIED","536,000",""
"SURVEY","1920","FIRST OF JAN","","STATE","CALIFORNIA","06","","","","","","","00000000","","CATTLE","CATTLE, COWS - INVENTORY","TOTAL","NOT SPECIFIED","920,000",""
"SURVEY","1920","FIRST OF JAN","","STATE","COLORADO","08","","","","","","","00000000","","CATTLE","CATTLE, COWS - INVENTORY","TOTAL","NOT SPECIFIED","695,000",""
"SURVEY","1920","FIRST OF JAN","","STATE","CONNECTICUT","09","","","","","","","00000000","","CATTLE","CATTLE, COWS - INVENTORY","TOTAL","NOT SPECIFIED","116,000",""
"SURVEY","1920","FIRST OF JAN","","STATE","DELAWARE","10","","","","","","","00000000","","CATTLE","CATTLE, COWS - INVENTORY","TOTAL","NOT SPECIFIED","34,000",""
"SURVEY","1920","FIRST OF JAN","","STATE","FLORIDA","12","","","","","","","00000000","","CATTLE","CATTLE, COWS - INVENTORY","TOTAL","NOT SPECIFIED","478,000",""
"SURVEY","1920","FIRST OF JAN","","STATE","GEORGIA","13","","","","","","","00000000","","CATTLE","CATTLE, COWS - INVENTORY","TOTAL","NOT SPECIFIED","611,000",""
"SURVEY","1920","FIRST OF JAN","","STATE","IDAHO","16","","","","","","","00000000","","CATTLE","CATTLE, COWS - INVENTORY","TOTAL","NOT SPECIFIED","302,000",""
"SURVEY","1920","FIRST OF JAN","","STATE","ILLINOIS","17","","","","","","","00000000","","CATTLE","CATTLE, COWS - INVENTORY","TOTAL","NOT SPECIFIED","1,319,000",""
"SURVEY","1920","FIRST OF JAN","","STATE","INDIANA","18","","","","","","","00000000","","CATTLE","CATTLE, COWS - INVENTORY","TOTAL","NOT SPECIFIED","779,000",""
