GISJOIN,YEAR,STUSAB,STATE,STATEA,GEOID,NAME_E,AMBUE001,AMBUE002,AMBVE001,AMBVE002,AMBWE001,AMBWE002,AMBXE001,AMBXE002,AMBYE001,AMBYE002,AMBZE001,AMBZE002,AMB0E001,AMB0E002,AMB1E001,AMB1E002,NAME_M,AMBUM001,AMBUM002,AMBVM001,AMBVM002,AMBWM001,AMBWM002,AMBXM001,AMBXM002,AMBYM001,AMBYM002,AMBZM001,AMBZM002,AMB0M001,AMB0M002,AMB1M001,AMB1M002
G010,2015-2019,AL,Alabama,1,04000US01,Alabama,1251793,338102,24860,4210,64928,8623,2174,545,69391,23824,89848,19906,3129248,367611,203804,60908,Alabama,2983,6279,1211,731,1202,1103,547,190,3123,2058,2787,1544,1828,7391,677,2982
G020,2015-2019,AK,Alaska,2,04000US02,Alaska,22598,3204,106217,25475,45381,4858,8938,1845,10938,1103,58901,6825,438171,30793,50027,5405,Alaska,850,618,1723,1547,864,1077,429,521,1611,450,2399,759,746,1822,315,1129
G040,2015-2019,AZ,Arizona,4,04000US04,Arizona,302474,61524,308309,101492,229030,27754,13334,2182,446444,103819,255272,44403,3782642,376610,2156773,465270,Arizona,3207,2773,3679,3182,2364,1690,741,498,9676,4477,6166,2750,1921,6396,1696,9420
G050,2015-2019,AR,Arkansas,5,04000US05,Arkansas,437294,128197,19782,4468,44648,5395,8584,2321,82163,22637,78851,18315,2113131,285911,220161,56288,Arkansas,2214,4520,1219,610,1014,748,702,751,3302,2198,2800,1136,1317,5655,476,2901
G060,2015-2019,CA,California,6,04000US06,California,2175391,446672,295088,57434,5608673,572101,151496,20156,5384432,1006009,1877312,233357,14341297,1304435,15060744,2660658,California,7736,7275,6483,3131,9109,9519,2490,1764,37074,14700,25584,5777,4130,13222,3492,25528
G080,2015-2019,CO,Colorado,8,04000US08,Colorado,222764,39451,51872,10091,174827,19015,8339,1096,214125,34367,201664,27579,3744133,293483,1180446,191702,Colorado,2706,2517,2143,949,2065,1520,720,336,5792,2561,4748,1976,1710,4584,1180,5610
G090,2015-2019,CT,Connecticut,9,04000US09,Connecticut,366651,65664,9555,1629,156268,12398,1059,116,180039,45567,114805,18102,2324845,137123,560489,123431,Connecticut,3262,3082,882,398,1609,1342,275,71,5663,3131,4934,1922,1617,3609,609,4427
G100,2015-2019,DE,Delaware,10,04000US10,Delaware,202643,37776,3680,681,36526,3976,526,69,17916,4005,26439,5236,582769,45071,86101,18541,Delaware,1729,2693,532,284,764,682,299,56,1508,936,1885,1059,938,2039,406,2026
G110,2015-2019,DC,District of Columbia,11,04000US11,District of Columbia,308905,79190,1970,496,25117,3132,355,9,33754,5371,20412,2118,238824,14051,72835,8776,District of Columbia,1503,3441,496,179,767,454,78,16,2045,1216,1393,443,650,854,432,1293
G120,2015-2019,FL,Florida,12,04000US12,Florida,3238898,713319,57353,9493,564177,66795,12446,2213,616842,117976,559790,88565,11051690,1108233,5275080,935162,Florida,8014,12512,2869,1127,3373,3581,910,505,11911,5168,11184,3712,4558,13592,2037,12946
G130,2015-2019,GA,Georgia,13,04000US13,Georgia,3172360,682103,36391,8993,405108,41679,6071,1562,285105,73518,257980,48239,5366485,542642,969358,222438,Georgia,6613,11483,2458,1420,2810,2565,777,657,7839,4303,6215,2869,2771,9601,1306,6532
G150,2015-2019,HI,Hawaii,15,04000US15,Hawaii,23477,2207,3451,792,529139,32381,139220,28117,16054,1451,333127,33532,299404,26908,143753,19605,Hawaii,999,417,545,241,3787,1790,2475,1957,1749,306,4704,2381,757,1440,589,1803
G160,2015-2019,ID,Idaho,16,04000US16,Idaho,11168,3386,22150,5510,23836,4111,2634,771,58979,12062,49548,8654,1384242,159451,210454,43616,Idaho,926,848,1150,709,1035,826,369,280,2637,1846,2233,1038,768,4658,511,2797
G170,2015-2019,IL,Illinois,17,04000US17,Illinois,1736570,453271,32478,5327,685046,74314,4336,547,751579,131250,320825,51187,7665980,647632,2150592,345198,Illinois,4718,7687,1911,708,2798,3017,569,217,11743,5233,6337,2251,2237,8245,1386,7624
G180,2015-2019,IN,Indiana,18,04000US18,Indiana,598760,161212,14998,2551,143135,26340,2399,339,142716,35338,162783,36349,5122295,548077,449576,100682,Indiana,3387,4072,1040,415,1777,1739,316,145,4255,3155,4128,2074,2208,8680,799,3861
G190,2015-2019,IA,Iowa,19,04000US19,Iowa,108368,34517,11445,2803,73945,11910,3634,1135,38169,8039,63734,14075,2609149,248882,182696,37928,Iowa,2250,1856,714,548,1163,984,456,289,2286,1260,2406,1208,1076,4485,442,2124
G200,2015-2019,KS,Kansas,20,04000US20,Kansas,159562,39323,22345,4409,83824,11847,2295,329,70613,14501,96189,19022,2150489,203452,336751,64909,Kansas,1991,2201,1056,572,1267,1349,319,143,3602,1539,2674,1375,1190,3991,583,3184
G210,2015-2019,KY,Kentucky,21,04000US21,Kentucky,338665,94283,8894,2256,63918,9106,3015,540,41395,12896,95337,25407,3654963,577810,156645,41964,Kentucky,2422,3318,845,469,971,1247,552,208,2365,1450,2681,1343,1735,9214,861,2623
